ASK_Artikelnummer,ASK_Beschreibung,Syskomp_Artikelnummer,Syskomp_Beschreibung
20104800,PROFIL 50X100L NUT 10 ZUSCHNITT,411993163,Aluminiumprofil 50x100L
20104801,PROFIL 50X100L NUT 10 LE1X6060,411537825,Aluminiumprofil 50x100L
20104900,PROFIL 100X100L NUT 10 ZUSCHNITT,411993171,Aluminiumprofil 100x100L
20104901,PROFIL 100X100L NUT 10 LE1X6060,411529355,Aluminiumprofil 100x100L
20105000,PROFIL 60X60L NUT 10 ZUSCHNITT,411992443,Aluminiumprofil 60x60L
20105001,PROFIL 60X60L NUT 10 LE1X6060,411511872,Aluminiumprofil 60x60L
20105003,PROFIL 60X60L NUT 10 LE1X3060,411992443,Aluminiumprofil 60x60L
20105100,PROFIL 60X60 NUT 10 ZUSCHNITT,411990350,Aluminiumprofil 60x60
20105101,PROFIL 60X60 NUT 10 LE1X6060,411509185,Aluminiumprofil 60x60
20106000,PROFIL 45X90L NUT 10 ZUSCHNITT,411992432,Aluminiumprofil 45x90L
20106001,PROFIL 45X90L NUT 10 LE1X6060,411511782,Aluminiumprofil 45x90L
20106002,PROFIL 45X90L NUT 10 LE1X5100,411992432,Aluminiumprofil 45x90L
20106003,PROFIL 45X90L NUT 10 LE1X3030,411992432,Aluminiumprofil 45x90L
20106020,PROFIL 45X90L 3N90 NUT 10 ZUSCHNITT,411993635,Aluminiumprofil 45x90L 3NVS
20106021,PROFIL 45X90L 3N90 NUT 10 LE1X6060,411538298,Aluminiumprofil 45x90L 3NVS
20106040,PROFIL 45X90L 2N180 NUT 10 ZUSCHNITT,411993644,Aluminiumprofil 45x90L 2N
20106041,PROFIL 45X90L 2N180 NUT 10 LE1X6060,411538299,Aluminiumprofil 45x90L 2N
20106060,PROFIL 45X90L 4N NUT 10 ZUSCHNITT,411459099,"Aluminiumprofil 45x90L 4N, Nut 10"
20106061,PROFIL 45X90L 4N NUT 10 LE1X6060,411459000,"Aluminiumprofil 45x90L 4N, Nut 10"
20107000,PROFIL 45X90 NUT 10 ZUSCHNITT,411990300,Aluminiumprofil 45x90
20107001,PROFIL 45X90 NUT 10 LE1X6060,411509186,Aluminiumprofil 45x90
20107003,PROFIL 45X90 NUT 10 LE1X3060,411990300,Aluminiumprofil 45x90
20107200,PROFIL 45X180 NUT 10 ZUSCHNITT,411990335,Aluminiumprofil 45x180
20107201,PROFIL 45X180 NUT 10 LE1X6060,411509187,Aluminiumprofil 45x180
20107300,PROFIL 40X80X80L NUT 10 ZUSCHNITT,411993193,Aluminiumprofil 40x80x80L
20107301,PROFIL 40X80X80L NUT 10 LE1X6060,411537827,Aluminiumprofil 40x80x80L
20107400,PROFIL 45X90X90L NUT 10 ZUSCHNITT,411992387,Aluminiumprofil 45x90x90L
20107401,PROFIL 45X90X90L NUT 10 LE1X6060,411537823,Aluminiumprofil 45x90x90L
20107500,PROFIL 60X90 NUT 10 ZUSCHNITT,411990450,Aluminiumprofil 60x90
20107501,PROFIL 60X90 NUT 10 LE1X6060,411509183,Aluminiumprofil 60x90
20107600,PROFIL 30X60X60L NUT 8 ZUSCHNITT,481993016,Aluminiumprofil 30x60x60
20107601,PROFIL 30X60X60L NUT 8 LE1X6060,481524049,Aluminiumprofil 30x60x60
20107700,PROFIL 80X80L NUT 10 ZUSCHNITT,411993133,Aluminiumprofil 80x80L
20107701,PROFIL 80X80L NUT 10 LE1X6060,411529347,Aluminiumprofil 80x80L
20107703,PROFIL 80X80L NUT 10 LE1X3060,411993133,Aluminiumprofil 80x80L
20107730,PROFIL 80X80L 6N NUT 10 ZUSCHNITT,384299342,"Aluminiumprofil 80x80L 6N, Nut 10"
20107731,PROFIL 80X80L 6N NUT 10 LE1X6060,384253648,"Aluminiumprofil 80x80L 6N, Nut 10"
20107760,PROFIL 80X80L 4N90 NUT 10 ZUSCHNITT,384299365,Aluminiumprofil 80x80L 4NVS Nut 10
20107761,PROFIL 80X80L 4N90 NUT 10 LE1X6060,384253833,Aluminiumprofil 80x80L 4NVS Nut 10
20107800,PROFIL 80X120L NUT 10 ZUSCHNITT,384299320,Aluminiumprofil 80x120L Nut 10
