neuNr;alteNr;BEZEICHNUNG;Item;2 Bosch;AlvarisArtnr;AlvarisMatnr;ASK
110000119;402150243;"Senkschraube mit;Innensechskant DIN7991 M5x40;verzinkt;";0.0.656.05;;-;-;
110000120;402150244;"Senkschraube mit;Innensechskant DIN7991 M6X18;verzinkt;";0.0.625.66;;-;-;
110000121;402150245;"Senkschraube mit;Innensechskant DIN7991 M6x22;verzinkt;";0.0.655.99;;-;-;
110000122;402150246;"Senkschraube mit;Innensechskant DIN7991 M6x25;verzinkt;";0.0.657.09;;-;-;
110000123;402150247;"Senkschraube mit;Innensechskant DIN7991 M6x30;verzinkt;";8.0.007.09;;-;-;
110000124;402150248;"Senkschraube mit;Innensechskant DIN7991 M6x40;verzinkt;";8.0.007.56;;-;-;
110000125;402150249;"Senkschraube mit;Innensechskant DIN 7991 M8x10;verzinkt;";8.0.005.48;;-;-;
110000126;402150250;"Senkschraube mit;Innensechskant DIN 7991 M8x12;verzinkt;";0.0.618.93;;-;-;
110000127;402150251;"Senkschraube mit;Innensechskant DIN 7991 M8x18;verzinkt;";8.0.008.84;;-;-;
110000128;402150252;"Senkschraube mit;Innensechskant DIN 7991 M8x20,;Material: Stahl verzinkt;";8.0.001.82;;-;-;
110000129;402150253;"Senkschraube mit;Innensechskant DIN 7991 M8x22;verzinkt;";0.0.608.02;;-;-;
110000130;402150254;"Senkschraube mit;Innensechskant DIN 7991 M8x25;verzinkt;";8.0.006.39;;-;-;
110000131;402150255;"Senkschraube mit;Innensechskant DIN7991 M8x30;verzinkt;";0.0.657.70;;-;-;
110000132;402150256;"Senkschraube mit;Innensechskant DIN7991 M8x35;verzinkt;";0.0.608.96;;-;-;
110000133;402150257;"Senkschraube mit;innensechskant DIN7991 M8x40;verzinkt;";0.0.657.16;;-;-;
110000134;402150258;"Senkschraube mit;Innensechskant DIN7991 M8x50;verzinkt;";0.0.657.17;;-;-;
110000135;402150259;"Senkschraube mit;Innensechskant DIN7991 M10x16;verzinkt;";0.0.657.18;;-;-;
110000136;402150260;"Senkschraube mit;Innensechskant DIN7991 M10x20;verzinkt;";0.0.608.00;;-;-;
110000137;402150261;"Senkschraube mit;Innensechskant DIN7991 M10x30;verzinkt;";0.0.657.25;;-;-;
110000138;402150262;"Senkschraube mit;Innensechskant DIN7991 M10x35;verzinkt;";0.0.657.23;;-;-;
110000139;402150263;"Senkschraube mit;Innensechskant DIN7991 M10x40;verzinkt;";0.0.657.26;;-;-;
110000140;402150264;"Senkschraube mit;Innensechskant DIN7991 M10x45;verzinkt;";0.0.657.28;;-;-;
110000141;402150265;"Senkschraube mit;Innensechskant DIN7991 M10x50;verzinkt;";0.0.657.27;;-;-;
110000142;402150266;"Senkschraube mit;Innensechskant DIN7991 M12x20;verzinkt;";0.0.657.29;;-;-;
110000143;402150267;"Senkschraube mit;Innensechskant DIN7991 M12x25;verzinkt;";0.0.657.31;;-;-;
110000144;402150268;"Senkschraube mit;Innensechskant DIN7991 M12x30;verzinkt;";8.0.008.93;;-;-;
110000145;402150269;"Senkschraube mit;Innensechskant DIN7991 M12x35;verzinkt;";0.0.657.32;;-;-;
110000146;402150270;"Senkschraube mit;Innensechskant DIN7991 M12x40;verzinkt;";0.0.657.33;;-;-;
110000147;402150271;"Senkschraube mit;Innensechskant DIN7991 M12x45;verzinkt;";0.0.657.34;;-;-;
110000148;402150272;"Senkschraube mit;Innensechskant DIN7991 M12x50;verzinkt;";0.0.657.35;;-;-;
110000149;402150273;"Senkschraube mit;Innensechskant DIN7991 M6x35;verzinkt;";0.0.657.13;;-;-;
110000150;402150300;"Zylinderschraube mit;Innensechskant ISO 4762, M8x20;Material: Stahl verzinkt;";8.0.004.41;;-;-;
110000151;402150301;"Zylinderschraube mit;Innensechskant ISO4762 M12x40;Material: Stahl verzinkt;";0.0.655.70;;-;-;
110000152;402150302;"Zylinderschraube mit;Innensechskant ISO 4762, M6x14;Material: Stahl verzinkt;";0.0.655.08;;-;-;
110000153;402150303;"Zylinderschraube mit;Innensechskant ISO 4762, M8x35;Material: Stahl verzinkt;";0.0.655.15;;-;-;
110000154;402150304;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M3x4 verzinkt;";8.0.008.23;;-;-;
110000155;402150305;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M3x8 verzinkt;";8.0.000.44;;-;-;
110000156;402150306;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M3x10 verzinkt;";0.0.654.96;;-;-;
110000157;402150307;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M3x12 verzinkt;";0.0.654.97;;-;-;
110000158;402150308;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M3x14 verzinkt;";8.0.006.25;;-;-;
110000159;402150309;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M3x16 verzinkt;";8.0.004.55;;-;-;
110000160;402150310;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M3x18 verzinkt;";0.0.654.98;;-;-;
